player,n_early,n_late,obs_mwp_early,sim_mwp_early,clutch_early,obs_mwp_late,sim_mwp_late,clutch_late
Magnus Gustafsson,248,248,64.91935483870968,63.63104838709678,1.2883064516128968,58.46774193548387,57.58467741935485,0.8830645161290249
Magnus Larsson,230,231,59.130434782608695,55.865217391304355,3.26521739130434,57.14285714285714,56.913419913419915,0.22943722943722378
Magnus Norman,191,192,58.1151832460733,54.497382198952884,3.617801047120416,58.333333333333336,57.0859375,1.2473958333333357
Malek Jaziri,109,110,39.44954128440367,36.58256880733945,2.8669724770642233,40.0,36.65,3.3500000000000014
Malivai Washington,188,188,64.36170212765957,64.38031914893617,-0.018617021276597256,55.319148936170215,55.85372340425533,-0.5345744680851112
Marat Safin,307,307,65.47231270358306,61.832247557003264,3.6400651465797935,57.98045602605863,57.80130293159609,0.17915309446254213
Marc Gicquel,98,99,48.97959183673469,46.872448979591844,2.107142857142847,41.41414141414141,44.7979797979798,-3.3838383838383876
Marc Kevin Goellner,165,165,47.878787878787875,47.76666666666666,0.11212121212121673,40.60606060606061,46.10909090909091,-5.5030303030303
Marc Rosset,313,313,61.34185303514377,60.199680511182116,1.142172523961655,49.201277955271564,50.389776357827465,-1.1884984025559007
Marcel Granollers,213,214,46.478873239436616,46.01173708920188,0.46713615023473665,41.58878504672897,44.27336448598131,-2.6845794392523388
Marcelo Filippini,144,145,44.44444444444444,46.37847222222223,-1.9340277777777857,41.37931034482759,45.717241379310344,-4.337931034482757
Marcelo Rios,259,259,68.33976833976834,64.2065637065637,4.133204633204642,67.95366795366795,63.658301158301164,4.295366795366782
Marco Cecchinato,100,101,37.0,37.415,-0.41499999999999915,37.62376237623762,40.21287128712872,-2.589108910891099
Marco Chiudinelli,65,66,36.92307692307693,38.68461538461539,-1.7615384615384642,33.33333333333333,34.46212121212121,-1.1287878787878824
Marcos Baghdatis,281,281,58.718861209964416,57.896797153024906,0.8220640569395101,52.66903914590747,54.22597864768684,-1.5569395017793681
Marcos Giron,141,142,45.39007092198582,45.63475177304965,-0.24468085106383342,46.478873239436616,50.4612676056338,-3.982394366197184
Marcos Ondruska,115,116,46.95652173913044,48.61739130434782,-1.6608695652173822,38.793103448275865,38.08620689655172,0.7068965517241423
Mardy Fish,238,239,52.94117647058824,50.371848739495796,2.569327731092443,63.59832635983263,63.64225941422594,-0.04393305439330675
Mariano Puerta,114,114,58.77192982456141,55.377192982456144,3.3947368421052673,47.368421052631575,46.08771929824561,1.2807017543859658
Mariano Zabaleta,194,195,47.42268041237113,47.6701030927835,-0.24742268041237025,52.820512820512825,54.182051282051276,-1.3615384615384514
Marin Cilic,458,459,63.31877729257642,60.97270742358079,2.3460698689956274,61.22004357298475,63.1285403050109,-1.9084967320261512
Marinko Matosevic,73,74,38.35616438356164,37.76712328767123,0.5890410958904084,40.54054054054054,42.26351351351351,-1.7229729729729684
Mario Ancic,154,155,55.1948051948052,59.03246753246753,-3.83766233766233,67.74193548387096,62.17096774193549,5.570967741935469
Marius Copil,71,71,39.436619718309856,43.978873239436616,-4.54225352112676,39.436619718309856,43.274647887323944,-3.8380281690140876
Mark Philippoussis,237,237,63.71308016877637,58.87130801687763,4.841772151898745,59.07172995780591,57.24683544303797,1.8248945147679336
Mark Woodforde,207,208,54.106280193236714,54.96376811594204,-0.8574879227053245,48.07692307692308,51.04326923076924,-2.9663461538461604
Markus Hipfl,63,64,44.44444444444444,48.84920634920634,-4.404761904761898,40.625,41.40625,-0.78125
Markus Zoecke,66,66,43.93939393939394,43.6969696969697,0.2424242424242351,36.36363636363637,39.91666666666667,-3.5530303030303045
Martin Damm Sr,175,176,42.285714285714285,44.2742857142857,-1.9885714285714187,43.75,43.80965909090909,-0.05965909090909349
Martin Klizan,130,131,49.23076923076923,43.96538461538462,5.265384615384612,47.32824427480916,44.30152671755725,3.0267175572519065
Martin Sinner,56,57,39.285714285714285,38.026785714285715,1.2589285714285694,36.84210526315789,39.14912280701754,-2.3070175438596507
Martin Vassallo Arguello,58,58,37.93103448275862,37.232758620689644,0.6982758620689751,31.03448275862069,31.017241379310345,0.017241379310345195
Martin Verkerk,57,58,49.122807017543856,47.8421052631579,1.2807017543859587,43.103448275862064,40.83620689655172,2.2672413793103416
Marton Fucsovics,167,168,51.49700598802395,53.724550898203596,-2.2275449101796454,48.214285714285715,52.48214285714286,-4.267857142857146
Mats Wilander,60,61,43.333333333333336,41.03333333333334,2.299999999999997,47.540983606557376,47.885245901639344,-0.34426229508196826
Matteo Arnaldi,69,69,52.17391304347826,48.03623188405797,4.137681159420289,42.028985507246375,41.03623188405797,0.9927536231884062
Matteo Berrettini,162,162,63.580246913580254,63.91975308641976,-0.33950617283950635,64.81481481481481,61.18827160493827,3.6265432098765373
Matthew Ebden,97,98,32.98969072164948,33.41752577319588,-0.42783505154639556,40.816326530612244,44.16326530612245,-3.3469387755102034
Max Mirnyi,211,212,48.81516587677725,49.90284360189573,-1.087677725118482,46.22641509433962,50.60141509433963,-4.375000000000007
Maxime Cressy,50,50,52.0,52.98,-0.9799999999999969,34.0,38.59,-4.590000000000003
